input_path,output_path,doc_type,year,meeting_id,format_type,original_size,converted_size,page_count,table_count,conversion_time,status,error_msg,sha1_original,sha1_converted,timestamp
raw\beigebook\2012\20120718_beigebook.pdf,fomc_files\beigebook\2012\20120718_beigebook.markdown,beigebook,2012,20120718_beigebook,markdown,394744,117045,46,1,30.324178457260132,success,,3ee58b9e2db0756d8899749aa0cd713773413c21,c3b9ef0616885f9281c471b6a28aa67c54cfbcfc,2025-08-20T16:33:24.390455
raw\beigebook\2011\20111130_beigebook.pdf,fomc_files\beigebook\2011\20111130_beigebook.markdown,beigebook,2011,20111130_beigebook,markdown,306689,116332,45,1,30.622743129730225,success,,17fa8aa87e4ad82fe7d2581dfccc2d62447f3331,62757e3bd819c0e64d60525ad55cbd484aeec954,2025-08-20T16:33:25.583632
raw\beigebook\2012\20120411_beigebook.pdf,fomc_files\beigebook\2012\20120411_beigebook.markdown,beigebook,2012,20120411_beigebook,markdown,392458,122292,61,4,30.85627031326294,success,,60847a9ed97b8e7402c93af485333e469f595998,14e9163888fb34cf31eacdde93001556fe04f8e5,2025-08-20T16:33:26.172793
raw\beigebook\2011\20110112_beigebook.pdf,fomc_files\beigebook\2011\20110112_beigebook.markdown,beigebook,2011,20110112_beigebook,markdown,282213,117129,50,0,32.93977928161621,success,,3918cbae625645fe6f75f9edabe29d00202da3c9,3269bebf0e256daedacf470f7d1532a2fdc20f83,2025-08-20T16:33:26.799538
raw\beigebook\2012\20120606_beigebook.pdf,fomc_files\beigebook\2012\20120606_beigebook.markdown,beigebook,2012,20120606_beigebook,markdown,182104,120536,49,0,34.58854150772095,success,,5f094da59086697ee52f115c29306e7b5e5eb640,947d0cdca3fabddda0367a9907450be91208aa4a,2025-08-20T16:33:29.731749
raw\beigebook\2012\20121128_beigebook.pdf,fomc_files\beigebook\2012\20121128_beigebook.markdown,beigebook,2012,20121128_beigebook,markdown,228623,133464,53,0,37.125786542892456,success,,8aa45c84b5c40ff13177a2c6c7a2591e05909c51,5ba582e71765e6bce2845e53071fce155dfabf3e,2025-08-20T16:33:30.199713
raw\beigebook\2011\20110727_beigebook.pdf,fomc_files\beigebook\2011\20110727_beigebook.markdown,beigebook,2011,20110727_beigebook,markdown,161111,119958,51,0,37.36388874053955,success,,0fed480a0eaa3e0977d2f50b748a0b84027dc4c6,2a59e2594674bed7de1dd04197e12e1c35d2a62d,2025-08-20T16:33:31.283946
raw\beigebook\2011\20111019_beigebook.pdf,fomc_files\beigebook\2011\20111019_beigebook.markdown,beigebook,2011,20111019_beigebook,markdown,148481,116975,45,0,40.08051109313965,success,,0f1c57a0c7f40b75d8057f2f63798877f20fe070,b313716da1a51df88c48a11a7f0df34bf395d7f3,2025-08-20T16:33:33.042796
raw\beigebook\2012\20120111_beigebook.pdf,fomc_files\beigebook\2012\20120111_beigebook.markdown,beigebook,2012,20120111_beigebook,markdown,145955,118030,47,0,40.35804629325867,success,,c651c415976fa0042e575667af4a90583c2be7a1,093345bc88d3ecf0b51d5d813e5b32cb32565e75,2025-08-20T16:33:33.344343
raw\beigebook\2011\20110413_beigebook.pdf,fomc_files\beigebook\2011\20110413_beigebook.markdown,beigebook,2011,20110413_beigebook,markdown,411222,122051,53,0,43.591920614242554,success,,07b2efc7643181341c538741eece0f9e7cbedc5f,797237162a895dee53ddefd7562f3759a9048410,2025-08-20T16:33:36.175861
