saved_path,doc_type,year,meeting_id,source_url,context_url,link_text,title_guess,date_guess,sha1,size
minutes\1990\19900327_minutes.pdf,minutes,1990,19900327_minutes,https://www.federalreserve.gov/monetarypolicy/files/fomcmoa19900327.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Minutes of Actions (210 KB PDF),,1990-03-27T00:00:00,446094da25acfb73d7c6c99311967df995622882,214772
minutes\1990\19900821_minutes.pdf,minutes,1990,19900821_minutes,https://www.federalreserve.gov/monetarypolicy/files/fomcmoa19900821.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Minutes of Actions (195 KB PDF),,1990-08-21T00:00:00,b304bf2204d46f6dc47c39f9ba2e8e9408e24345,199235
minutes\1990\19900703_minutes.pdf,minutes,1990,19900703_minutes,https://www.federalreserve.gov/monetarypolicy/files/fomcmoa19900703.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Minutes of Actions (258 KB PDF),,1990-07-03T00:00:00,2e38e375f96e22b8e4f2a9bc3628fbad3dfaaeec,264395
transcript\1990\19900207_transcript.pdf,transcript,1990,19900207_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900207meeting.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (3.88 MB PDF),,1990-02-07T00:00:00,2fc333bc393f2b3dcc7b6d98891a6935df06be92,4070585
minutes\1990\19901002_minutes.pdf,minutes,1990,19901002_minutes,https://www.federalreserve.gov/monetarypolicy/files/fomcmoa19901002.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Minutes of Actions (205 KB PDF),,1990-10-02T00:00:00,483005e7753e81ecce031577d16bcae6a58ab764,210413
transcript\1990\19900907_transcript.pdf,transcript,1990,19900907_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900907confcall.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (390 KB PDF),,1990-09-07T00:00:00,cbbcb74c9c0184e50180eeea70631a59001565c6,399517
transcript\1990\19900917_transcript.pdf,transcript,1990,19900917_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900917confcall.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (744 KB PDF),,1990-09-17T00:00:00,560fc50666d066c995601c69e557662220ccb4c4,761491
transcript\1990\19900515_transcript.pdf,transcript,1990,19900515_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900515meeting.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (2.46 MB PDF),,1990-05-15T00:00:00,30e95d5a298509497fb1f109679aaeae260f4d26,2584242
transcript\1990\19900411_transcript.pdf,transcript,1990,19900411_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900411confcall.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (434 KB PDF),,1990-04-11T00:00:00,1d7bb3634f3b6e5e23d733db8d1629f3388db8b6,444178
transcript\1990\19900327_transcript.pdf,transcript,1990,19900327_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900327meeting.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (5.67 MB PDF),,1990-03-27T00:00:00,3c12694b7f61a12e942a999840054beddb01937e,5941399
transcript\1990\19901002_transcript.pdf,transcript,1990,19901002_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19901002meeting.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (4.11 MB PDF),,1990-10-02T00:00:00,07a034f518cab3f39274ecd26be65bf6ed2cc648,4305621
minutes\1990\19900515_minutes.pdf,minutes,1990,19900515_minutes,https://www.federalreserve.gov/monetarypolicy/files/fomcmoa19900515.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Minutes of Actions (173 KB PDF),,1990-05-15T00:00:00,45445f15197aa990b1a1a106e3b2ada7128e9e46,177357
transcript\1990\19900703_transcript.pdf,transcript,1990,19900703_transcript,https://www.federalreserve.gov/monetarypolicy/files/FOMC19900703meeting.pdf,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,Transcript (3.89 MB PDF),,1990-07-03T00:00:00,0b228ea6c91dfd7d21fcbf2852291bbbc26e96f3,4078221
