id,celebrity,text,sentiment,sentiment_score,date,platform,length
1,ITZY,ITZY 재능이 넘쳐나네요,positive,0.846,2025-07-18 09:35:22,youtube,14
2,NCT,NCT 재능이 넘쳐나네요,positive,0.868,2025-08-14 09:35:22,twitter,13
3,ENHYPEN,ENHYPEN 콘서트 정보 알려주세요,neutral,0.539,2025-08-10 09:35:22,youtube,20
4,NCT,NCT 춤도 잘 춰 👏,positive,0.738,2025-07-26 09:35:22,instagram,12
5,KARD,KARD 최고야!! 사랑해,positive,0.881,2025-07-20 09:35:22,youtube,14
6,BTS,BTS 정말 예쁘다 ❤️,positive,0.9,2025-08-11 09:35:22,twitter,13
7,BTS,BTS 최고야!! 사랑해,positive,0.806,2025-07-31 09:35:22,instagram,13
8,NMIXX,NMIXX 노래 너무 좋아요!,positive,0.712,2025-07-25 09:35:22,instagram,16
9,StrayKids,StrayKids 노래 너무 좋아요!,positive,0.869,2025-07-28 09:35:22,twitter,20
10,MAMAMOO,MAMAMOO 완벽해 💕,positive,0.768,2025-07-26 09:35:22,youtube,13
11,IVE,IVE 목소리 천사같아,positive,0.728,2025-07-26 09:35:22,twitter,12
12,SEVENTEEN,SEVENTEEN 음악 감동이에요,positive,0.765,2025-07-28 09:35:22,instagram,18
13,(G)I-DLE,(G)I-DLE 정말 예쁘다 ❤️,positive,0.95,2025-07-27 09:35:22,youtube,18
14,StrayKids,StrayKids 노래 너무 좋아요!,positive,0.865,2025-07-26 09:35:22,twitter,20
15,aespa,aespa 노래 너무 좋아요!,positive,0.898,2025-07-31 09:35:22,instagram,16
16,Red Velvet,Red Velvet 드라마 출연해요,neutral,0.41,2025-07-23 09:35:22,instagram,19
17,BLACKPINK,BLACKPINK 너무 과장된거 아니야?,negative,0.262,2025-07-28 09:35:22,youtube,22
18,ITZY,ITZY 춤도 잘 춰 👏,positive,0.864,2025-07-16 09:35:22,twitter,13
19,(G)I-DLE,(G)I-DLE 좀 아쉽네,negative,0.129,2025-08-08 09:35:22,twitter,14
20,BTS,BTS 새로운 앨범 언제 나와?,neutral,0.405,2025-07-24 09:35:22,instagram,17
21,IVE,IVE 콘서트 정보 알려주세요,neutral,0.431,2025-07-19 09:35:22,youtube,16
22,IU,IU 광고 찍었네요,neutral,0.457,2025-08-12 09:35:22,instagram,10
23,NewJeans,NewJeans 재능이 넘쳐나네요,positive,0.875,2025-07-26 09:35:22,instagram,18
24,IU,IU 정말 예쁘다 ❤️,positive,0.834,2025-08-04 09:35:22,twitter,12
25,Red Velvet,Red Velvet 논란이 많네,negative,0.268,2025-08-12 09:35:22,twitter,17
26,NMIXX,NMIXX 목소리 천사같아,positive,0.804,2025-08-01 09:35:22,instagram,14
27,SEVENTEEN,SEVENTEEN 완벽해 💕,positive,0.911,2025-07-17 09:35:22,instagram,15
28,NewJeans,NewJeans 최고야!! 사랑해,positive,0.927,2025-07-20 09:35:22,youtube,18
29,NCT,NCT 재능이 넘쳐나네요,positive,0.826,2025-07-20 09:35:22,youtube,13
30,aespa,aespa 노래 너무 좋아요!,positive,0.759,2025-07-28 09:35:22,twitter,16
31,BLACKPINK,BLACKPINK 재능이 넘쳐나네요,positive,0.948,2025-07-17 09:35:22,instagram,19
32,ITZY,ITZY 별로인듯,negative,0.399,2025-07-25 09:35:22,instagram,9
33,MAMAMOO,MAMAMOO 최고야!! 사랑해,positive,0.863,2025-07-15 09:35:22,instagram,17
34,BLACKPINK,BLACKPINK 완벽해 💕,positive,0.834,2025-07-19 09:35:22,youtube,15
35,StrayKids,StrayKids 음악 감동이에요,positive,0.805,2025-08-07 09:35:22,youtube,18
36,ENHYPEN,ENHYPEN 목소리 천사같아,positive,0.801,2025-08-04 09:35:22,twitter,16
37,NewJeans,NewJeans 예전만 못한듯,negative,0.118,2025-08-06 09:35:22,twitter,16
38,IU,IU 드라마 출연해요,neutral,0.559,2025-07-21 09:35:22,twitter,11
39,BTS,BTS 별로인듯,negative,0.062,2025-08-13 09:35:22,instagram,8
40,NCT,NCT 방송 언제 해요?,neutral,0.658,2025-07-29 09:35:22,instagram,13
41,aespa,aespa 완벽해 💕,positive,0.757,2025-07-19 09:35:22,twitter,11
42,ENHYPEN,ENHYPEN 노래 너무 좋아요!,positive,0.882,2025-07-23 09:35:22,twitter,18
43,NewJeans,NewJeans 좀 아쉽네,negative,0.166,2025-07-26 09:35:22,instagram,14
44,ENHYPEN,ENHYPEN 새로운 앨범 언제 나와?,neutral,0.616,2025-08-02 09:35:22,youtube,21
45,BTS,BTS 인스타 업데이트 기다려요,neutral,0.418,2025-08-06 09:35:22,youtube,17
46,aespa,aespa 춤도 잘 춰 👏,positive,0.861,2025-08-08 09:35:22,youtube,14
47,NCT,NCT 최고야!! 사랑해,positive,0.757,2025-07-18 09:35:22,instagram,13
48,NewJeans,NewJeans 콘서트 정보 알려주세요,neutral,0.412,2025-08-13 09:35:22,instagram,21
49,NewJeans,NewJeans 좀 아쉽네,negative,0.321,2025-07-21 09:35:22,twitter,14
50,Red Velvet,Red Velvet 춤도 잘 춰 👏,positive,0.728,2025-08-10 09:35:22,youtube,19
51,MAMAMOO,MAMAMOO 별로인듯,negative,0.067,2025-08-03 09:35:22,twitter,12
52,TXT,TXT 논란이 많네,negative,0.214,2025-08-07 09:35:22,instagram,10
53,ITZY,ITZY 정말 예쁘다 ❤️,positive,0.926,2025-08-03 09:35:22,youtube,14
54,IU,IU 최고야!! 사랑해,positive,0.926,2025-07-25 09:35:22,instagram,12
55,IVE,IVE 최고야!! 사랑해,positive,0.823,2025-07-29 09:35:22,instagram,13
56,NMIXX,NMIXX 정말 예쁘다 ❤️,positive,0.809,2025-07-21 09:35:22,instagram,15
57,SEVENTEEN,SEVENTEEN 음악 감동이에요,positive,0.779,2025-07-31 09:35:22,twitter,18
58,MAMAMOO,MAMAMOO 재능이 넘쳐나네요,positive,0.708,2025-07-24 09:35:22,instagram,17
59,BLACKPINK,BLACKPINK 최고야!! 사랑해,positive,0.823,2025-07-26 09:35:22,twitter,19
60,BLACKPINK,BLACKPINK 최고야!! 사랑해,positive,0.799,2025-08-06 09:35:22,instagram,19
61,TWICE,TWICE 재능이 넘쳐나네요,positive,0.934,2025-07-18 09:35:22,twitter,15
62,BTS,BTS 목소리 천사같아,positive,0.817,2025-07-28 09:35:22,youtube,12
63,BLACKPINK,BLACKPINK 실망이야,negative,0.273,2025-08-14 09:35:22,youtube,14
64,NewJeans,NewJeans 춤도 잘 춰 👏,positive,0.914,2025-07-15 09:35:22,twitter,17
65,MAMAMOO,MAMAMOO 실망이야,negative,0.094,2025-08-14 09:35:22,instagram,12
66,TWICE,TWICE 음악 감동이에요,positive,0.75,2025-07-26 09:35:22,youtube,14
67,aespa,aespa 새로운 앨범 언제 나와?,neutral,0.418,2025-08-08 09:35:22,instagram,19
68,BLACKPINK,BLACKPINK 노래 너무 좋아요!,positive,0.825,2025-08-01 09:35:22,youtube,20
69,Red Velvet,Red Velvet 춤도 잘 춰 👏,positive,0.721,2025-07-27 09:35:22,twitter,19
70,SEVENTEEN,SEVENTEEN 정말 예쁘다 ❤️,positive,0.758,2025-07-30 09:35:22,youtube,19
71,ITZY,ITZY 재능이 넘쳐나네요,positive,0.73,2025-08-03 09:35:22,twitter,14
72,(G)I-DLE,(G)I-DLE 최고야!! 사랑해,positive,0.821,2025-07-18 09:35:22,youtube,18
73,BTS,BTS 춤도 잘 춰 👏,positive,0.945,2025-08-10 09:35:22,twitter,12
74,ITZY,ITZY 최고야!! 사랑해,positive,0.732,2025-07-18 09:35:22,instagram,14
75,ENHYPEN,ENHYPEN 최고야!! 사랑해,positive,0.728,2025-08-07 09:35:22,youtube,17
76,TXT,TXT 방송 언제 해요?,neutral,0.456,2025-07-18 09:35:22,youtube,13
77,NCT,NCT 정말 예쁘다 ❤️,positive,0.812,2025-08-05 09:35:22,instagram,13
78,StrayKids,StrayKids 좀 아쉽네,negative,0.398,2025-08-10 09:35:22,instagram,15
79,LE SSERAFIM,LE SSERAFIM 재능이 넘쳐나네요,positive,0.723,2025-08-09 09:35:22,twitter,21
80,Red Velvet,Red Velvet 좀 아쉽네,negative,0.191,2025-07-30 09:35:22,youtube,16
81,IVE,IVE 별로인듯,negative,0.077,2025-07-17 09:35:22,twitter,8
82,KARD,KARD 완벽해 💕,positive,0.788,2025-07-21 09:35:22,youtube,10
83,TXT,TXT 새로운 앨범 언제 나와?,neutral,0.587,2025-08-11 09:35:22,twitter,17
84,TXT,TXT 정말 예쁘다 ❤️,positive,0.789,2025-07-26 09:35:22,instagram,13
85,LE SSERAFIM,LE SSERAFIM 콘서트 정보 알려주세요,neutral,0.508,2025-07-23 09:35:22,twitter,24
86,Red Velvet,Red Velvet 정말 예쁘다 ❤️,positive,0.765,2025-07-27 09:35:22,instagram,20
87,IVE,IVE 정말 예쁘다 ❤️,positive,0.902,2025-08-10 09:35:22,youtube,13
88,aespa,aespa 춤도 잘 춰 👏,positive,0.704,2025-08-06 09:35:22,twitter,14
89,ENHYPEN,ENHYPEN 별로인듯,negative,0.067,2025-07-24 09:35:22,youtube,12
90,IU,IU 목소리 천사같아,positive,0.86,2025-08-05 09:35:22,twitter,11
91,TWICE,TWICE 노래 너무 좋아요!,positive,0.814,2025-07-27 09:35:22,youtube,16
92,NCT,NCT 재능이 넘쳐나네요,positive,0.9,2025-08-12 09:35:22,twitter,13
93,TWICE,TWICE 광고 찍었네요,neutral,0.433,2025-08-04 09:35:22,instagram,13
94,SEVENTEEN,SEVENTEEN 재능이 넘쳐나네요,positive,0.928,2025-07-30 09:35:22,instagram,19
95,NCT,NCT 노래 너무 좋아요!,positive,0.94,2025-07-20 09:35:22,instagram,14
96,BTS,BTS 정말 예쁘다 ❤️,positive,0.878,2025-07-27 09:35:22,instagram,13
97,NCT,NCT 너무 과장된거 아니야?,negative,0.312,2025-07-21 09:35:22,instagram,16
98,KARD,KARD 노래 너무 좋아요!,positive,0.924,2025-07-29 09:35:22,youtube,15
99,BLACKPINK,BLACKPINK 완벽해 💕,positive,0.829,2025-07-29 09:35:22,twitter,15
100,IVE,IVE 완벽해 💕,positive,0.905,2025-08-04 09:35:22,youtube,9
101,NMIXX,NMIXX 음악 감동이에요,positive,0.787,2025-08-03 09:35:22,instagram,14
102,NewJeans,NewJeans 별로인듯,negative,0.155,2025-08-07 09:35:22,instagram,13
103,NMIXX,NMIXX 방송 언제 해요?,neutral,0.675,2025-08-07 09:35:22,twitter,15
104,BTS,BTS 완벽해 💕,positive,0.911,2025-08-03 09:35:22,twitter,9
105,ENHYPEN,ENHYPEN 노래 너무 좋아요!,positive,0.764,2025-08-11 09:35:22,instagram,18
106,MAMAMOO,MAMAMOO 정말 예쁘다 ❤️,positive,0.862,2025-07-31 09:35:22,twitter,17
107,ITZY,ITZY 드라마 출연해요,neutral,0.402,2025-08-12 09:35:22,youtube,13
108,NMIXX,NMIXX 재능이 넘쳐나네요,positive,0.781,2025-07-22 09:35:22,instagram,15
109,aespa,aespa 너무 과장된거 아니야?,negative,0.214,2025-07-18 09:35:22,twitter,18
110,TXT,TXT 너무 과장된거 아니야?,negative,0.305,2025-07-18 09:35:22,instagram,16
111,NewJeans,NewJeans 음악 감동이에요,positive,0.93,2025-07-31 09:35:22,twitter,17
112,IU,IU 최고야!! 사랑해,positive,0.944,2025-07-18 09:35:22,youtube,12
113,LE SSERAFIM,LE SSERAFIM 완벽해 💕,positive,0.923,2025-08-11 09:35:22,youtube,17
114,aespa,aespa 광고 찍었네요,neutral,0.455,2025-08-12 09:35:22,instagram,13
115,TXT,TXT 정말 예쁘다 ❤️,positive,0.76,2025-07-29 09:35:22,instagram,13
116,TXT,TXT 최고야!! 사랑해,positive,0.73,2025-08-07 09:35:22,twitter,13
117,aespa,aespa 춤도 잘 춰 👏,positive,0.759,2025-07-15 09:35:22,youtube,14
118,NCT,NCT 예전만 못한듯,negative,0.185,2025-07-28 09:35:22,instagram,11
119,KARD,KARD 재능이 넘쳐나네요,positive,0.774,2025-08-13 09:35:22,instagram,14
120,ITZY,ITZY 목소리 천사같아,positive,0.78,2025-07-18 09:35:22,instagram,13
121,(G)I-DLE,(G)I-DLE 목소리 천사같아,positive,0.896,2025-08-05 09:35:22,instagram,17
122,NewJeans,NewJeans 완벽해 💕,positive,0.876,2025-08-06 09:35:22,twitter,14
123,Red Velvet,Red Velvet 목소리 천사같아,positive,0.723,2025-07-22 09:35:22,instagram,19
124,ITZY,ITZY 콘서트 정보 알려주세요,neutral,0.626,2025-07-23 09:35:22,instagram,17
125,TXT,TXT 정말 예쁘다 ❤️,positive,0.859,2025-08-05 09:35:22,youtube,13
126,NewJeans,NewJeans 최고야!! 사랑해,positive,0.789,2025-07-26 09:35:22,youtube,18
127,Red Velvet,Red Velvet 광고 찍었네요,neutral,0.599,2025-08-09 09:35:22,instagram,18
128,ENHYPEN,ENHYPEN 정말 예쁘다 ❤️,positive,0.8,2025-08-13 09:35:22,youtube,17
129,IU,IU 목소리 천사같아,positive,0.761,2025-07-30 09:35:22,instagram,11
130,KARD,KARD 재능이 넘쳐나네요,positive,0.9,2025-08-05 09:35:22,youtube,14
131,KARD,KARD 재능이 넘쳐나네요,positive,0.93,2025-07-18 09:35:22,instagram,14
132,NCT,NCT 노래 너무 좋아요!,positive,0.779,2025-08-03 09:35:22,twitter,14
133,IVE,IVE 목소리 천사같아,positive,0.936,2025-07-26 09:35:22,instagram,12
134,aespa,aespa 목소리 천사같아,positive,0.882,2025-08-03 09:35:22,instagram,14
135,BTS,BTS 노래 너무 좋아요!,positive,0.817,2025-08-10 09:35:22,youtube,14
136,NewJeans,NewJeans 완벽해 💕,positive,0.714,2025-07-31 09:35:22,youtube,14
137,StrayKids,StrayKids 완벽해 💕,positive,0.782,2025-08-08 09:35:22,youtube,15
138,IU,IU 완벽해 💕,positive,0.756,2025-07-17 09:35:22,twitter,8
139,IVE,IVE 노래 너무 좋아요!,positive,0.907,2025-07-20 09:35:22,instagram,14
140,StrayKids,StrayKids 목소리 천사같아,positive,0.724,2025-08-09 09:35:22,youtube,18
141,NewJeans,NewJeans 노래 너무 좋아요!,positive,0.864,2025-08-04 09:35:22,instagram,19
142,ITZY,ITZY 춤도 잘 춰 👏,positive,0.92,2025-07-22 09:35:22,youtube,13
143,BTS,BTS 완벽해 💕,positive,0.797,2025-08-14 09:35:22,twitter,9
144,SEVENTEEN,SEVENTEEN 최고야!! 사랑해,positive,0.851,2025-07-20 09:35:22,twitter,19
145,KARD,KARD 재능이 넘쳐나네요,positive,0.827,2025-08-11 09:35:22,instagram,14
146,ITZY,ITZY 춤도 잘 춰 👏,positive,0.809,2025-07-16 09:35:22,youtube,13
147,StrayKids,StrayKids 별로인듯,negative,0.061,2025-07-30 09:35:22,youtube,14
148,KARD,KARD 새로운 앨범 언제 나와?,neutral,0.663,2025-07-16 09:35:22,twitter,18
149,BTS,BTS 콘서트 정보 알려주세요,neutral,0.562,2025-08-05 09:35:22,instagram,16
150,aespa,aespa 완벽해 💕,positive,0.845,2025-08-03 09:35:22,twitter,11
151,StrayKids,StrayKids 완벽해 💕,positive,0.865,2025-08-04 09:35:22,twitter,15
